experiment,variant,top_k_pages,batch_size,min_ctx,max_ctx,seed,iterations,warmup,num_heads,head_dim,page_size,total_pages,total_context_tokens,total_candidate_pages,total_selected_tokens,sparse_current_over_dense_bytes,sparse_target_over_dense_bytes,dense_cpu_total_ms,sparse_cpu_total_ms,dense_gpu_total_ms,sparse_gpu_total_ms,dense_gpu_kernel_ms,sparse_gpu_kernel_ms,sparse_gpu_score_ms,sparse_gpu_topk_ms,sparse_gpu_attention_ms,sparse_gpu_total_overhead_ms,sparse_gpu_sparse_layout_ms,avg_max_abs_diff_sparse_gpu_vs_dense_cpu,raw_log
"decode_page_size_sweep","page_size_8","8","16","4096","4096","7","10","2","32","128","8","8192","65536","8192","1024","0.547","0.078","1262.696","38.518","5.474","0.434","5.180","0.201","0.070","0.044","0.087","0.364","0.055","2.931241e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/04_decode_page_size_sweep/raw/page_size_8.txt"
"decode_page_size_sweep","page_size_16","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","0.594","0.062","1282.422","34.342","5.410","0.455","5.137","0.239","0.041","0.035","0.163","0.391","0.051","1.998816e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/04_decode_page_size_sweep/raw/page_size_16.txt"
"decode_page_size_sweep","page_size_32","8","16","4096","4096","7","10","2","32","128","32","2048","65536","2048","4096","0.688","0.078","1314.810","49.111","5.392","0.589","5.123","0.369","0.025","0.030","0.315","0.515","0.048","1.399443e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/04_decode_page_size_sweep/raw/page_size_32.txt"
"decode_page_size_sweep","page_size_64","8","16","4096","4096","7","10","2","32","128","64","1024","65536","1024","8192","0.875","0.133","1333.216","91.151","5.386","0.875","5.115","0.664","0.022","0.024","0.619","0.809","0.048","9.536219e-02","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/04_decode_page_size_sweep/raw/page_size_64.txt"
