experiment,variant,top_k_pages,batch_size,min_ctx,max_ctx,seed,iterations,warmup,num_heads,head_dim,page_size,total_pages,total_context_tokens,total_candidate_pages,total_selected_tokens,sparse_current_over_dense_bytes,sparse_target_over_dense_bytes,dense_cpu_total_ms,sparse_cpu_total_ms,dense_gpu_total_ms,sparse_gpu_total_ms,dense_gpu_kernel_ms,sparse_gpu_kernel_ms,sparse_gpu_score_ms,sparse_gpu_topk_ms,sparse_gpu_attention_ms,sparse_gpu_total_overhead_ms,sparse_gpu_sparse_layout_ms,avg_max_abs_diff_sparse_gpu_vs_dense_cpu,raw_log
"decode_topk_sparsity_sweep","topk_1","1","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","256","0.512","0.035","1363.652","19.297","5.433","0.324","5.119","0.080","0.043","0.010","0.027","0.251","0.064","5.346429e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/03_decode_topk_sparsity_sweep/raw/topk_1.txt"
"decode_topk_sparsity_sweep","topk_2","2","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","512","0.523","0.039","1346.049","21.696","5.423","0.353","5.118","0.100","0.042","0.012","0.047","0.272","0.063","3.996022e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/03_decode_topk_sparsity_sweep/raw/topk_2.txt"
"decode_topk_sparsity_sweep","topk_4","4","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","1024","0.547","0.047","1360.320","26.930","5.413","0.383","5.114","0.146","0.043","0.018","0.085","0.313","0.063","2.751254e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/03_decode_topk_sparsity_sweep/raw/topk_4.txt"
"decode_topk_sparsity_sweep","topk_8","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","0.594","0.062","1336.774","38.440","5.414","0.493","5.115","0.239","0.042","0.035","0.162","0.409","0.064","1.998816e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/03_decode_topk_sparsity_sweep/raw/topk_8.txt"
"decode_topk_sparsity_sweep","topk_16","16","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","4096","0.688","0.094","1354.023","59.886","5.415","0.665","5.116","0.437","0.043","0.079","0.315","0.601","0.063","1.371962e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/03_decode_topk_sparsity_sweep/raw/topk_16.txt"
"decode_topk_sparsity_sweep","topk_32","32","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","8192","0.875","0.156","1292.622","104.332","5.425","0.962","5.116","0.728","0.042","0.064","0.622","0.897","0.063","9.785280e-02","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/03_decode_topk_sparsity_sweep/raw/topk_32.txt"
