experiment,variant,top_k_pages,batch_size,min_ctx,max_ctx,seed,iterations,warmup,num_heads,head_dim,page_size,total_pages,total_context_tokens,total_candidate_pages,total_selected_tokens,sparse_current_over_dense_bytes,sparse_target_over_dense_bytes,dense_cpu_total_ms,sparse_cpu_total_ms,dense_gpu_total_ms,sparse_gpu_total_ms,dense_gpu_kernel_ms,sparse_gpu_kernel_ms,sparse_gpu_score_ms,sparse_gpu_topk_ms,sparse_gpu_attention_ms,sparse_gpu_total_overhead_ms,sparse_gpu_sparse_layout_ms,avg_max_abs_diff_sparse_gpu_vs_dense_cpu,raw_log
"decode_batch_scaling_sweep","batch_1","8","1","4096","4096","7","10","2","32","128","16","256","4096","256","128","0.594","0.062","83.791","5.088","5.203","0.279","5.080","0.216","0.022","0.034","0.160","0.255","0.002","1.944172e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/02_decode_batch_scaling_sweep/raw/batch_1.txt"
"decode_batch_scaling_sweep","batch_2","8","2","4096","4096","7","10","2","32","128","16","512","8192","512","256","0.594","0.062","167.393","7.526","5.234","0.292","5.091","0.216","0.022","0.035","0.160","0.265","0.006","1.909846e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/02_decode_batch_scaling_sweep/raw/batch_2.txt"
"decode_batch_scaling_sweep","batch_4","8","4","4096","4096","7","10","2","32","128","16","1024","16384","1024","512","0.594","0.062","336.622","11.910","5.306","0.323","5.129","0.219","0.023","0.034","0.162","0.287","0.012","1.934773e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/02_decode_batch_scaling_sweep/raw/batch_4.txt"
"decode_batch_scaling_sweep","batch_8","8","8","4096","4096","7","10","2","32","128","16","2048","32768","2048","1024","0.594","0.062","671.499","20.782","5.319","0.359","5.119","0.222","0.026","0.034","0.162","0.313","0.024","1.887077e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/02_decode_batch_scaling_sweep/raw/batch_8.txt"
"decode_batch_scaling_sweep","batch_16","8","16","4096","4096","7","10","2","32","128","16","4096","65536","4096","2048","0.594","0.062","1334.799","38.915","5.418","0.494","5.117","0.241","0.044","0.035","0.162","0.410","0.062","1.998816e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/02_decode_batch_scaling_sweep/raw/batch_16.txt"
"decode_batch_scaling_sweep","batch_32","8","32","4096","4096","7","10","2","32","128","16","8192","131072","8192","4096","0.594","0.062","2681.690","73.628","6.045","0.658","5.175","0.271","0.070","0.036","0.166","0.542","0.099","2.005074e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/02_decode_batch_scaling_sweep/raw/batch_32.txt"
"decode_batch_scaling_sweep","batch_64","8","64","4096","4096","7","10","2","32","128","16","16384","262144","16384","8192","0.594","0.062","5469.099","144.737","6.740","1.088","5.496","0.343","0.131","0.036","0.177","0.883","0.209","2.051539e-01","/jet/home/ywang94/project/15-618_Dynamic_Sparse_Decode/results/report_experiments/02_decode_batch_scaling_sweep/raw/batch_64.txt"
